Label,Min,Average,90% Line,Max,# Samples,failure,test
TC06_PCG_External_QuoteNewCustomer_PEL_13c_Details_ClickNext_QuotepagLoad_XXL,2.701,3.594,4.39,4.991,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_13c_Details_ClickNext_QuotepagLoad_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_16_Prepackage_CreateQuotepackage_L,2.001,3.939,2.563,10.722,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_16_Prepackage_CreateQuotepackage_L
TC06_PCG_External_QuoteNewCustomer_PEL_13c_Details_ClickNext_QuotepagLoad_M,2.821,3.548,4.155,4.945,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_13c_Details_ClickNext_QuotepagLoad_M
TC06_PCG_External_QuoteNewCustomer_PEL_16_Prepackage_CreateQuotepackage_XL,1.766,2.287,2.606,2.606,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_16_Prepackage_CreateQuotepackage_XL
TC06_PCG_External_QuoteNewCustomer_PEL_13c_Details_ClickNext_QuotepagLoad_S,3.097,4.145,5.005,5.005,3,0,TC06_PCG_External_QuoteNewCustomer_PEL_13c_Details_ClickNext_QuotepagLoad_S
TC06_PCG_External_QuoteNewCustomer_PEL_14_Quotepage_Clicknext_XXL,1.455,2.415,2.561,4.922,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_14_Quotepage_Clicknext_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_17_Prepackage_Clickclose_L,0.679,1.114,1.329,1.86,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_17_Prepackage_Clickclose_L
TC06_PCG_External_QuoteNewCustomer_PEL_14_Quotepage_Clicknext_M,1.381,2.682,3.91,4.347,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_14_Quotepage_Clicknext_M
TC06_PCG_External_QuoteNewCustomer_PEL_17_Prepackage_Clickclose_XL,0.634,0.703,0.759,0.759,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_17_Prepackage_Clickclose_XL
TC06_PCG_External_QuoteNewCustomer_PEL_14_Quotepage_Clicknext_S,1.748,2.579,3.204,3.204,3,0,TC06_PCG_External_QuoteNewCustomer_PEL_14_Quotepage_Clicknext_S
TC06_PCG_External_QuoteNewCustomer_PEL_16_Prepackage_CreateQuotepackage_XXL,1.803,2.935,2.415,7.298,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_16_Prepackage_CreateQuotepackage_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_16_Prepackage_CreateQuotepackage_M,1.929,4.574,6.339,10.395,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_16_Prepackage_CreateQuotepackage_M
TC06_PCG_External_QuoteNewCustomer_PEL_18_Packagepage_SendToUnderwriter_L,7.062,8.275,7.588,11.729,5,0,TC06_PCG_External_QuoteNewCustomer_PEL_18_Packagepage_SendToUnderwriter_L
TC06_PCG_External_QuoteNewCustomer_PEL_16_Prepackage_CreateQuotepackage_S,2.096,7.402,11.649,11.649,3,0,TC06_PCG_External_QuoteNewCustomer_PEL_16_Prepackage_CreateQuotepackage_S
TC06_PCG_External_QuoteNewCustomer_PEL_17_Prepackage_Clickclose_XXL,0.595,1.044,0.807,2.654,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_17_Prepackage_Clickclose_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_18_Packagepage_SendToUnderwriter_XL,7.195,7.626,7.961,7.961,4,0,TC06_PCG_External_QuoteNewCustomer_PEL_18_Packagepage_SendToUnderwriter_XL
TC06_PCG_External_QuoteNewCustomer_PEL_17_Prepackage_Clickclose_M,0.621,1.399,2.074,3.269,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_17_Prepackage_Clickclose_M
TC06_PCG_External_QuoteNewCustomer_PEL_17_Prepackage_Clickclose_S,0.663,2.317,3.156,3.156,3,0,TC06_PCG_External_QuoteNewCustomer_PEL_17_Prepackage_Clickclose_S
TC06_PCG_External_QuoteNewCustomer_PEL_18_Packagepage_SendToUnderwriter_XXL,7.198,9.481,7.736,19.851,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_18_Packagepage_SendToUnderwriter_XXL
TC06_PCG_External_QuoteNewCustomer_PEL_18_Packagepage_SendToUnderwriter_M,6.748,8.987,11.618,14.164,6,0,TC06_PCG_External_QuoteNewCustomer_PEL_18_Packagepage_SendToUnderwriter_M
TC06_PCG_External_QuoteNewCustomer_PEL_18_Packagepage_SendToUnderwriter_S,7.023,11.096,13.339,13.339,3,0,TC06_PCG_External_QuoteNewCustomer_PEL_18_Packagepage_SendToUnderwriter_S
TC07_PCG_External_NewCustomer_Collections_02_SearchCustomerID_S,0.695,1.891,2.091,4.816,6,0,TC07_PCG_External_NewCustomer_Collections_02_SearchCustomerID_S
TC07_PCG_External_NewCustomer_Collections_02_SearchCustomerID_XXL,0.73,1.987,4.61,4.811,9,0,TC07_PCG_External_NewCustomer_Collections_02_SearchCustomerID_XXL
TC07_PCG_External_NewCustomer_Collections_03_CreateQuotefor_NewCustomer_S,0.211,0.337,0.386,0.536,6,0,TC07_PCG_External_NewCustomer_Collections_03_CreateQuotefor_NewCustomer_S
TC07_PCG_External_NewCustomer_Collections_03_CreateQuotefor_NewCustomer_XXL,0.208,0.235,0.253,0.343,9,0,TC07_PCG_External_NewCustomer_Collections_03_CreateQuotefor_NewCustomer_XXL
TC07_PCG_External_NewCustomer_Collections_02_SearchCustomerID_XL,0.572,1.599,1.374,4.574,5,0,TC07_PCG_External_NewCustomer_Collections_02_SearchCustomerID_XL
TC07_PCG_External_NewCustomer_Collections_04_SelectProductandClickSave&Continue_S,3.248,5.623,6.512,8.314,6,0,TC07_PCG_External_NewCustomer_Collections_04_SelectProductandClickSave&Continue_S
TC07_PCG_External_NewCustomer_Collections_04_SelectProductandClickSave&Continue_XXL,3.262,4.581,5.916,6.216,9,0,TC07_PCG_External_NewCustomer_Collections_04_SelectProductandClickSave&Continue_XXL
TC07_PCG_External_NewCustomer_Collections_03_CreateQuotefor_NewCustomer_XL,0.191,0.374,0.339,0.89,5,0,TC07_PCG_External_NewCustomer_Collections_03_CreateQuotefor_NewCustomer_XL
TC07_PCG_External_NewCustomer_Collections_02_SearchCustomerID_L,0.6,2.315,4.864,4.864,3,0,TC07_PCG_External_NewCustomer_Collections_02_SearchCustomerID_L
TC07_PCG_External_NewCustomer_Collections_08_InsuredPage_SelectLocationInfoAddress_S,0.23,0.253,0.269,0.304,6,0,TC07_PCG_External_NewCustomer_Collections_08_InsuredPage_SelectLocationInfoAddress_S
TC07_PCG_External_NewCustomer_Collections_08_InsuredPage_SelectLocationInfoAddress_XXL,0.237,0.264,0.305,0.308,9,0,TC07_PCG_External_NewCustomer_Collections_08_InsuredPage_SelectLocationInfoAddress_XXL
TC07_PCG_External_NewCustomer_Collections_03_CreateQuotefor_NewCustomer_L,0.208,0.227,0.242,0.242,3,0,TC07_PCG_External_NewCustomer_Collections_03_CreateQuotefor_NewCustomer_L
TC07_PCG_External_NewCustomer_Collections_04_SelectProductandClickSave&Continue_XL,3.363,4.88,5.563,7.132,5,0,TC07_PCG_External_NewCustomer_Collections_04_SelectProductandClickSave&Continue_XL
TC07_PCG_External_NewCustomer_Collections_09_insuredPage_Clicksave_S,13.658,16.041,16.704,18.272,6,0,TC07_PCG_External_NewCustomer_Collections_09_insuredPage_Clicksave_S
TC07_PCG_External_NewCustomer_Collections_08_InsuredPage_SelectLocationInfoAddress_XL,0.251,0.36,0.378,0.645,5,0,TC07_PCG_External_NewCustomer_Collections_08_InsuredPage_SelectLocationInfoAddress_XL
TC07_PCG_External_NewCustomer_Collections_04_SelectProductandClickSave&Continue_L,3.694,4.107,4.749,4.749,3,0,TC07_PCG_External_NewCustomer_Collections_04_SelectProductandClickSave&Continue_L
TC07_PCG_External_NewCustomer_Collections_09_insuredPage_Clicksave_XXL,13.877,15.581,16.483,19.792,9,0,TC07_PCG_External_NewCustomer_Collections_09_insuredPage_Clicksave_XXL
TC07_PCG_External_NewCustomer_Collections_10_RatingPage_SelectJewelry_S,1.064,1.296,1.466,1.484,6,0,TC07_PCG_External_NewCustomer_Collections_10_RatingPage_SelectJewelry_S
TC07_PCG_External_NewCustomer_Collections_08_InsuredPage_SelectLocationInfoAddress_L,0.249,0.348,0.399,0.399,3,0,TC07_PCG_External_NewCustomer_Collections_08_InsuredPage_SelectLocationInfoAddress_L
TC07_PCG_External_NewCustomer_Collections_10_RatingPage_SelectJewelry_XXL,1.121,1.416,1.436,2.306,9,0,TC07_PCG_External_NewCustomer_Collections_10_RatingPage_SelectJewelry_XXL
TC07_PCG_External_NewCustomer_Collections_09_insuredPage_Clicksave_XL,15.241,16.985,17.407,19.042,5,0,TC07_PCG_External_NewCustomer_Collections_09_insuredPage_Clicksave_XL
TC07_PCG_External_NewCustomer_Collections_11_RatingPage_SelectScheduled_S,0.966,1.155,1.114,1.742,6,0,TC07_PCG_External_NewCustomer_Collections_11_RatingPage_SelectScheduled_S
TC07_PCG_External_NewCustomer_Collections_11_RatingPage_SelectScheduled_XXL,1.034,1.152,1.253,1.399,9,0,TC07_PCG_External_NewCustomer_Collections_11_RatingPage_SelectScheduled_XXL
TC07_PCG_External_NewCustomer_Collections_09_insuredPage_Clicksave_L,13.265,14.791,16.171,16.171,3,0,TC07_PCG_External_NewCustomer_Collections_09_insuredPage_Clicksave_L
TC07_PCG_External_NewCustomer_Collections_10_RatingPage_SelectJewelry_XL,1.082,1.323,1.418,1.518,5,0,TC07_PCG_External_NewCustomer_Collections_10_RatingPage_SelectJewelry_XL
TC07_PCG_External_NewCustomer_Collections_12_RatingPage_Coveragelimit&ClickNext_S,2.721,2.979,3.121,3.363,6,0,TC07_PCG_External_NewCustomer_Collections_12_RatingPage_Coveragelimit&ClickNext_S
TC07_PCG_External_NewCustomer_Collections_12_RatingPage_Coveragelimit&ClickNext_XXL,2.856,3.036,3.21,3.388,9,0,TC07_PCG_External_NewCustomer_Collections_12_RatingPage_Coveragelimit&ClickNext_XXL
TC07_PCG_External_NewCustomer_Collections_10_RatingPage_SelectJewelry_L,1.306,1.489,1.701,1.701,3,0,TC07_PCG_External_NewCustomer_Collections_10_RatingPage_SelectJewelry_L
TC07_PCG_External_NewCustomer_Collections_11_RatingPage_SelectScheduled_XL,1.128,1.241,1.262,1.404,5,0,TC07_PCG_External_NewCustomer_Collections_11_RatingPage_SelectScheduled_XL
TC07_PCG_External_NewCustomer_Collections_13_CoveragePage_SelectRoofTypeMaterial_S,1.354,1.607,1.671,2.282,6,0,TC07_PCG_External_NewCustomer_Collections_13_CoveragePage_SelectRoofTypeMaterial_S
TC07_PCG_External_NewCustomer_Collections_13_CoveragePage_SelectRoofTypeMaterial_XXL,1.34,1.606,1.7,2.487,9,0,TC07_PCG_External_NewCustomer_Collections_13_CoveragePage_SelectRoofTypeMaterial_XXL
TC07_PCG_External_NewCustomer_Collections_11_RatingPage_SelectScheduled_L,1.019,1.366,1.892,1.892,3,0,TC07_PCG_External_NewCustomer_Collections_11_RatingPage_SelectScheduled_L
TC07_PCG_External_NewCustomer_Collections_12_RatingPage_Coveragelimit&ClickNext_XL,2.978,3.616,3.97,4.198,5,0,TC07_PCG_External_NewCustomer_Collections_12_RatingPage_Coveragelimit&ClickNext_XL
TC07_PCG_External_NewCustomer_Collections_13a_CoveragePage_SelectContructiontype_S,1.336,1.567,1.785,1.807,6,0,TC07_PCG_External_NewCustomer_Collections_13a_CoveragePage_SelectContructiontype_S
TC07_PCG_External_NewCustomer_Collections_13a_CoveragePage_SelectContructiontype_XXL,1.327,1.58,1.683,2.374,9,0,TC07_PCG_External_NewCustomer_Collections_13a_CoveragePage_SelectContructiontype_XXL
TC07_PCG_External_NewCustomer_Collections_12_RatingPage_Coveragelimit&ClickNext_L,2.764,3.305,4.152,4.152,3,0,TC07_PCG_External_NewCustomer_Collections_12_RatingPage_Coveragelimit&ClickNext_L
TC07_PCG_External_NewCustomer_Collections_13_CoveragePage_SelectRoofTypeMaterial_XL,1.429,1.777,1.694,2.621,5,0,TC07_PCG_External_NewCustomer_Collections_13_CoveragePage_SelectRoofTypeMaterial_XL
TC07_PCG_External_NewCustomer_Collections_13b_CoveragePage_occupancytype_S,1.414,1.507,1.522,1.807,6,0,TC07_PCG_External_NewCustomer_Collections_13b_CoveragePage_occupancytype_S
TC07_PCG_External_NewCustomer_Collections_13b_CoveragePage_occupancytype_XXL,1.404,1.518,1.554,1.827,9,0,TC07_PCG_External_NewCustomer_Collections_13b_CoveragePage_occupancytype_XXL
TC07_PCG_External_NewCustomer_Collections_13_CoveragePage_SelectRoofTypeMaterial_L,1.392,1.491,1.556,1.556,3,0,TC07_PCG_External_NewCustomer_Collections_13_CoveragePage_SelectRoofTypeMaterial_L
TC07_PCG_External_NewCustomer_Collections_13a_CoveragePage_SelectContructiontype_XL,1.39,1.589,1.627,2.004,5,0,TC07_PCG_External_NewCustomer_Collections_13a_CoveragePage_SelectContructiontype_XL
TC07_PCG_External_NewCustomer_Collections_13c_CoveragePage_DetailsYearBuilt_S,1.47,1.592,1.65,1.798,6,0,TC07_PCG_External_NewCustomer_Collections_13c_CoveragePage_DetailsYearBuilt_S
TC07_PCG_External_NewCustomer_Collections_13c_CoveragePage_DetailsYearBuilt_XXL,1.353,1.464,1.502,1.611,9,0,TC07_PCG_External_NewCustomer_Collections_13c_CoveragePage_DetailsYearBuilt_XXL
TC07_PCG_External_NewCustomer_Collections_13a_CoveragePage_SelectContructiontype_L,1.301,1.492,1.816,1.816,3,0,TC07_PCG_External_NewCustomer_Collections_13a_CoveragePage_SelectContructiontype_L
TC07_PCG_External_NewCustomer_Collections_13b_CoveragePage_occupancytype_XL,1.383,1.508,1.54,1.682,5,0,TC07_PCG_External_NewCustomer_Collections_13b_CoveragePage_occupancytype_XL
TC07_PCG_External_NewCustomer_Collections_13d_CoveragePage_SquareFootage_S,1.396,1.64,1.634,2.204,6,0,TC07_PCG_External_NewCustomer_Collections_13d_CoveragePage_SquareFootage_S
TC07_PCG_External_NewCustomer_Collections_13d_CoveragePage_SquareFootage_XXL,1.282,1.478,1.635,1.727,9,0,TC07_PCG_External_NewCustomer_Collections_13d_CoveragePage_SquareFootage_XXL
TC07_PCG_External_NewCustomer_Collections_13b_CoveragePage_occupancytype_L,1.403,1.633,2.043,2.043,3,0,TC07_PCG_External_NewCustomer_Collections_13b_CoveragePage_occupancytype_L
TC07_PCG_External_NewCustomer_Collections_13c_CoveragePage_DetailsYearBuilt_XL,1.46,1.565,1.592,1.832,5,0,TC07_PCG_External_NewCustomer_Collections_13c_CoveragePage_DetailsYearBuilt_XL
TC07_PCG_External_NewCustomer_Collections_13e_CoveragePage_SelectFamiliesinHome_S,1.46,1.715,1.872,2.496,6,0,TC07_PCG_External_NewCustomer_Collections_13e_CoveragePage_SelectFamiliesinHome_S
TC07_PCG_External_NewCustomer_Collections_13e_CoveragePage_SelectFamiliesinHome_XXL,1.324,1.708,2.407,2.521,9,0,TC07_PCG_External_NewCustomer_Collections_13e_CoveragePage_SelectFamiliesinHome_XXL
TC07_PCG_External_NewCustomer_Collections_13c_CoveragePage_DetailsYearBuilt_L,1.398,1.843,2.568,2.568,3,0,TC07_PCG_External_NewCustomer_Collections_13c_CoveragePage_DetailsYearBuilt_L
TC07_PCG_External_NewCustomer_Collections_13d_CoveragePage_SquareFootage_XL,1.369,1.441,1.486,1.493,5,0,TC07_PCG_External_NewCustomer_Collections_13d_CoveragePage_SquareFootage_XL
TC07_PCG_External_NewCustomer_Collections_13f_CoveragePage_selectprotectionclass_S,1.385,1.489,1.555,1.776,6,0,TC07_PCG_External_NewCustomer_Collections_13f_CoveragePage_selectprotectionclass_S
TC07_PCG_External_NewCustomer_Collections_13f_CoveragePage_selectprotectionclass_XXL,1.306,1.397,1.522,1.54,9,0,TC07_PCG_External_NewCustomer_Collections_13f_CoveragePage_selectprotectionclass_XXL
TC07_PCG_External_NewCustomer_Collections_13d_CoveragePage_SquareFootage_L,1.409,1.46,1.493,1.493,3,0,TC07_PCG_External_NewCustomer_Collections_13d_CoveragePage_SquareFootage_L
TC07_PCG_External_NewCustomer_Collections_13e_CoveragePage_SelectFamiliesinHome_XL,1.381,1.482,1.516,1.665,5,0,TC07_PCG_External_NewCustomer_Collections_13e_CoveragePage_SelectFamiliesinHome_XL
TC07_PCG_External_NewCustomer_Collections_13g_CoveragePage_selectno0fStories_S,1.334,1.475,1.398,2.004,6,0,TC07_PCG_External_NewCustomer_Collections_13g_CoveragePage_selectno0fStories_S
TC07_PCG_External_NewCustomer_Collections_13g_CoveragePage_selectno0fStories_XXL,1.376,1.476,1.559,1.67,9,0,TC07_PCG_External_NewCustomer_Collections_13g_CoveragePage_selectno0fStories_XXL
TC07_PCG_External_NewCustomer_Collections_13e_CoveragePage_SelectFamiliesinHome_L,1.35,1.588,1.946,1.946,3,0,TC07_PCG_External_NewCustomer_Collections_13e_CoveragePage_SelectFamiliesinHome_L
TC07_PCG_External_NewCustomer_Collections_13f_CoveragePage_selectprotectionclass_XL,1.397,1.574,1.752,1.881,5,0,TC07_PCG_External_NewCustomer_Collections_13f_CoveragePage_selectprotectionclass_XL
TC07_PCG_External_NewCustomer_Collections_14_CoveragePage_PercentageofCoverage_S,1.421,1.524,1.613,1.713,6,0,TC07_PCG_External_NewCustomer_Collections_14_CoveragePage_PercentageofCoverage_S
TC07_PCG_External_NewCustomer_Collections_14_CoveragePage_PercentageofCoverage_XXL,1.382,1.665,1.652,2.886,9,0,TC07_PCG_External_NewCustomer_Collections_14_CoveragePage_PercentageofCoverage_XXL
TC07_PCG_External_NewCustomer_Collections_13f_CoveragePage_selectprotectionclass_L,1.4,1.843,2.461,2.461,3,0,TC07_PCG_External_NewCustomer_Collections_13f_CoveragePage_selectprotectionclass_L
TC07_PCG_External_NewCustomer_Collections_13g_CoveragePage_selectno0fStories_XL,1.321,2.057,1.768,4.356,5,0,TC07_PCG_External_NewCustomer_Collections_13g_CoveragePage_selectno0fStories_XL
TC07_PCG_External_NewCustomer_Collections_15_CoveragePage_ClickNext_S,2.926,3.39,3.67,3.778,6,0,TC07_PCG_External_NewCustomer_Collections_15_CoveragePage_ClickNext_S
TC07_PCG_External_NewCustomer_Collections_15_CoveragePage_ClickNext_XXL,2.863,3.278,3.504,4.275,9,0,TC07_PCG_External_NewCustomer_Collections_15_CoveragePage_ClickNext_XXL
TC07_PCG_External_NewCustomer_Collections_13g_CoveragePage_selectno0fStories_L,1.393,1.462,1.537,1.537,3,0,TC07_PCG_External_NewCustomer_Collections_13g_CoveragePage_selectno0fStories_L
TC07_PCG_External_NewCustomer_Collections_14_CoveragePage_PercentageofCoverage_XL,1.359,1.655,1.68,2.296,5,0,TC07_PCG_External_NewCustomer_Collections_14_CoveragePage_PercentageofCoverage_XL
TC07_PCG_External_NewCustomer_Collections_16b_DetailsPage_ClickNext_S,4.803,5.068,5.259,5.308,6,0,TC07_PCG_External_NewCustomer_Collections_16b_DetailsPage_ClickNext_S
TC07_PCG_External_NewCustomer_Collections_14_CoveragePage_PercentageofCoverage_L,1.312,1.374,1.468,1.468,3,0,TC07_PCG_External_NewCustomer_Collections_14_CoveragePage_PercentageofCoverage_L
TC07_PCG_External_NewCustomer_Collections_16b_DetailsPage_ClickNext_XXL,2.32,4.873,5.602,5.989,9,0,TC07_PCG_External_NewCustomer_Collections_16b_DetailsPage_ClickNext_XXL
TC07_PCG_External_NewCustomer_Collections_15_CoveragePage_ClickNext_XL,2.963,3.073,3.132,3.211,5,0,TC07_PCG_External_NewCustomer_Collections_15_CoveragePage_ClickNext_XL
TC07_PCG_External_NewCustomer_Collections_16C_DetailsPage_ClickNext_QuotepageLoad_S,3.718,3.943,4.064,4.322,5,0,TC07_PCG_External_NewCustomer_Collections_16C_DetailsPage_ClickNext_QuotepageLoad_S
TC07_PCG_External_NewCustomer_Collections_15_CoveragePage_ClickNext_L,2.919,3.046,3.159,3.159,3,0,TC07_PCG_External_NewCustomer_Collections_15_CoveragePage_ClickNext_L
TC07_PCG_External_NewCustomer_Collections_16C_DetailsPage_ClickNext_QuotepageLoad_XXL,3.349,4.026,4.317,5.4,8,0,TC07_PCG_External_NewCustomer_Collections_16C_DetailsPage_ClickNext_QuotepageLoad_XXL
TC07_PCG_External_NewCustomer_Collections_16b_DetailsPage_ClickNext_XL,4.87,5.086,5.215,5.37,5,0,TC07_PCG_External_NewCustomer_Collections_16b_DetailsPage_ClickNext_XL
TC07_PCG_External_NewCustomer_Collections_17_QuotePage_ClickNext_S,1.441,1.677,1.837,1.872,5,0,TC07_PCG_External_NewCustomer_Collections_17_QuotePage_ClickNext_S
TC07_PCG_External_NewCustomer_Collections_17_QuotePage_ClickNext_XXL,1.564,2.1,2.415,2.861,8,0,TC07_PCG_External_NewCustomer_Collections_17_QuotePage_ClickNext_XXL
TC07_PCG_External_NewCustomer_Collections_16b_DetailsPage_ClickNext_L,5.035,5.54,6.466,6.466,3,0,TC07_PCG_External_NewCustomer_Collections_16b_DetailsPage_ClickNext_L
TC07_PCG_External_NewCustomer_Collections_16C_DetailsPage_ClickNext_QuotepageLoad_XL,3.706,3.861,3.891,4.099,5,0,TC07_PCG_External_NewCustomer_Collections_16C_DetailsPage_ClickNext_QuotepageLoad_XL
TC07_PCG_External_NewCustomer_Collections_19_PrePackagePage_ClickCreatePackage_S,3.582,4.946,4.865,7.992,5,0,TC07_PCG_External_NewCustomer_Collections_19_PrePackagePage_ClickCreatePackage_S
TC07_PCG_External_NewCustomer_Collections_19_PrePackagePage_ClickCreatePackage_XXL,2.916,4.977,6.264,8.83,7,0,TC07_PCG_External_NewCustomer_Collections_19_PrePackagePage_ClickCreatePackage_XXL
TC07_PCG_External_NewCustomer_Collections_17_QuotePage_ClickNext_XL,1.578,1.989,2.485,2.66,5,0,TC07_PCG_External_NewCustomer_Collections_17_QuotePage_ClickNext_XL
TC07_PCG_External_NewCustomer_Collections_16C_DetailsPage_ClickNext_QuotepageLoad_L,3.936,4.403,4.894,4.894,3,0,TC07_PCG_External_NewCustomer_Collections_16C_DetailsPage_ClickNext_QuotepageLoad_L
TC07_PCG_External_NewCustomer_Collections_20_PrePackagePage_ClickClosePopUp_S,0.638,0.926,1.057,1.205,5,0,TC07_PCG_External_NewCustomer_Collections_20_PrePackagePage_ClickClosePopUp_S
TC07_PCG_External_NewCustomer_Collections_20_PrePackagePage_ClickClosePopUp_XXL,0.616,0.963,1.32,1.531,7,0,TC07_PCG_External_NewCustomer_Collections_20_PrePackagePage_ClickClosePopUp_XXL
TC07_PCG_External_NewCustomer_Collections_17_QuotePage_ClickNext_L,1.563,2.183,2.905,2.905,3,0,TC07_PCG_External_NewCustomer_Collections_17_QuotePage_ClickNext_L
TC07_PCG_External_NewCustomer_Collections_19_PrePackagePage_ClickCreatePackage_XL,2.814,4.317,5.557,5.718,5,0,TC07_PCG_External_NewCustomer_Collections_19_PrePackagePage_ClickCreatePackage_XL
TC07_PCG_External_NewCustomer_Collections_21_PackagePage_SendToUnderwriter_S,7.293,7.852,8.625,8.625,4,0,TC07_PCG_External_NewCustomer_Collections_21_PackagePage_SendToUnderwriter_S
TC07_PCG_External_NewCustomer_Collections_20_PrePackagePage_ClickClosePopUp_XL,0.752,1.126,1.02,2.233,5,0,TC07_PCG_External_NewCustomer_Collections_20_PrePackagePage_ClickClosePopUp_XL
TC07_PCG_External_NewCustomer_Collections_21_PackagePage_SendToUnderwriter_XXL,6.994,8.637,9.133,13.879,7,0,TC07_PCG_External_NewCustomer_Collections_21_PackagePage_SendToUnderwriter_XXL
TC07_PCG_External_NewCustomer_Collections_19_PrePackagePage_ClickCreatePackage_L,4.398,5.937,8.712,8.712,3,0,TC07_PCG_External_NewCustomer_Collections_19_PrePackagePage_ClickCreatePackage_L
TC07_PCG_External_NewCustomer_Collections_20_PrePackagePage_ClickClosePopUp_L,0.674,0.922,1.084,1.084,3,0,TC07_PCG_External_NewCustomer_Collections_20_PrePackagePage_ClickClosePopUp_L
TC07_PCG_External_NewCustomer_Collections_21_PackagePage_SendToUnderwriter_XL,6.913,7.985,8.97,9.184,5,0,TC07_PCG_External_NewCustomer_Collections_21_PackagePage_SendToUnderwriter_XL
TC07_PCG_External_NewCustomer_Collections_21_PackagePage_SendToUnderwriter_L,6.935,7.67,8.423,8.423,3,0,TC07_PCG_External_NewCustomer_Collections_21_PackagePage_SendToUnderwriter_L
TC05_PCG_External_QuoteNewCustomer_HO_02_SearchCustomer_XL,0.561,1.863,1.527,4.894,5,0,TC05_PCG_External_QuoteNewCustomer_HO_02_SearchCustomer_XL
TC05_PCG_External_QuoteNewCustomer_HO_03_Click_CreateQuotefornewCustomer_XL,0.21,0.402,0.507,0.759,5,0,TC05_PCG_External_QuoteNewCustomer_HO_03_Click_CreateQuotefornewCustomer_XL
TC05_PCG_External_QuoteNewCustomer_HO_04_SelectProductandClickSave&Continue_XL,3.342,4.172,4.546,5.138,5,0,TC05_PCG_External_QuoteNewCustomer_HO_04_SelectProductandClickSave&Continue_XL
TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_XL,1.84,2.179,2.537,2.655,5,0,TC05_PCG_External_QuoteNewCustomer_HO_07_insuredPage_SelectLocationInfoAddress_XL
TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_XL,16.068,18.45,17.534,24.875,5,0,TC05_PCG_External_QuoteNewCustomer_HO_08_insuredPage_Clicksave_XL
TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_XL,1.518,1.616,1.676,1.791,5,0,TC05_PCG_External_QuoteNewCustomer_HO_10_RatingPage_Selectyearbuilt_XL
TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_XL,1.374,1.455,1.454,1.603,5,0,TC05_PCG_External_QuoteNewCustomer_HO_10A_RatingPage_Noofstories_XL
TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_XL,1.451,1.648,1.649,2.135,5,0,TC05_PCG_External_QuoteNewCustomer_HO_10B_RatingPage_SelectpreviousInsurer_XL
TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_XL,4.342,4.732,4.956,5.55,5,0,TC05_PCG_External_QuoteNewCustomer_HO_13_Ratingpage_ClickNext_XL
TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_XL,1.088,1.251,1.281,1.482,5,0,TC05_PCG_External_QuoteNewCustomer_HO_14_coveragepage_Enter_EstimatedHomeReplacementValue_XL
TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_XL,2.908,4.269,4.736,6.328,5,0,TC05_PCG_External_QuoteNewCustomer_HO_17_coveragepage_ClickNext_XL
TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_XL,1.228,1.408,1.512,1.72,5,0,TC05_PCG_External_QuoteNewCustomer_HO_18_Detailspage_Qualifyingcredits_selectAlarm_XL
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_XL,6.341,7.797,9.227,9.517,5,0,TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_XL
TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_XL,4.029,5.254,5.667,6.649,5,0,TC05_PCG_External_QuoteNewCustomer_HO_22_Detailspage_ClickNext_QuotePageLoad_XL
TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_XL,1.554,2.677,2.945,4.729,5,0,TC05_PCG_External_QuoteNewCustomer_HO_24_Quotesummarypage_ClickNext_XL
